document,product,source,movie_kor,cleaned,cluster
"[영화스케치] 300년 전 영조와 사도가 우리에게 던지는 물음…‘사도’... [영화정보] 영화명: ‘사도’ 장르: 사극 감독: 이준익 개봉일: 2015년 9월 16일출연: 송강호, 유아인, 문근영, 김해숙, 전혜진 외. 관람등급: 12세이상 관람가 (뉴스컬처=김이슬 기자) 대한민국 No.1 문화신문 [뉴스컬처] [네이버... ",sado,naver_news_integrated.csv,사도,스케치 영조 사도 우리 물음 사도 정보 사도 장르 이준익 개봉 출연 송강호 유아인 문근영 김해숙 전혜진 관람 등급 이상 관람 뉴스 컬처 김이슬 기자 민국 문화 신문 뉴스 컬처 네이버,3
영화 '남산의 부장들' 관객 300만 명 돌파 영화 '남산의 부장들'이 개봉 6일째 관객 300만 명을 넘어섰습니다. '남산의 부장들'은 연휴 마지막 날인 27일 62만 명의 관객을 동원해 누적 관객 322만 명을 기록했습니다. '남산의 부장들'은 1979년 박정희 전 대통령... ,the_man_standing_next,naver_news_integrated.csv,남산의 부장들,남산 부장 관객 돌파 남산 부장 개봉 관객 남산 부장 연휴 마지막 관객 동원 누적 관객 기록 남산 부장 박정희 대통령,1
"[SS포토]영화 '사도' 문근영, 각선미 드러나는 앞트임 드레스 영화 ‘사도’는 조선시대 영조와 사도세자의 비극적인 가족사를 다룬 영화로 이준익 감독이 연출을 맡았으며 송강호, 유아인, 문근영, 김혜숙, 전혜진 등이 출연한다. 2015. 9. 3. upandup@sportsseoul.com... ",sado,naver_news_integrated.csv,사도,포토 사도 문근영 각선미 앞트임 드레스 조선 시대 영조 사도 세자 비극 가족사 이준익 감독 연출 송강호 유아인 문근영 김혜숙 전혜진 출연,3
"입소문 '올빼미', 신작 틈 예매율 18.4% 1위 탈환 입소문을 타고 있는 영화 '올빼미'(감독 안태진)가 전체 예매율 1위를 탈환했다. 29일 영화관 입장권 통합전산망 실시간 예매율 집계결과에 따르면 이날 오후 2시15분 기준 예매율 18.4%로 전체 예매율 1위를 탈환했다.... ",the_night_owl,naver_news_integrated.csv,올빼미,입소문 올빼미 신작 예매 탈환 입소문 올빼미 감독 안태진 전체 예매 탈환 영화관 입장권 통합 전산망 실시간 예매 집계 이날 오후 기준 예매 전체 예매 탈환,2
‘사도’ 릴레이 시네마 콘서트 개최…다양한 방식으로 만나는 역사 2015년 하반기 최고의 기대작으로 손꼽히는 ‘사도’가 사전 시사회를 통해 다양한 시각으로 영화를 즐길 수 있는 관객과의 대화 자리를 마련한다. ‘영조’와 ‘사도’의 내면 심리에 초점을 맞춘 심리 콘서트는 물론... ,sado,naver_news_integrated.csv,사도,사도 릴레이 시네마 콘서트 개최 다양 방식 역사 하반기 기대 사도 사전 시사회 시각 관객 대화 자리 마련 사도 내면 심리 초점 심리 콘서트,3
류준열 유해진 ‘올빼미’ 2주 연속 주말 1위[MK박스오피스] 5일 영화진흥위원회 영화관입장권 통합전산망에 따르면 지난 2일부터 4일까지 영화 ‘올빼미’(감독 안태진)는 55만 3132명을 동원해 박스오피스 1위에 올랐다. 누적 관객 수는 176만 3680명이다. 지난달 23일 개봉한... ,the_night_owl,naver_news_integrated.csv,올빼미,류준열 유해진 올빼미 연속 주말 박스오피스 진흥 위원회 관입 장권 통합 전산망 올빼미 감독 안태진 동원 박스오피스 누적 관객 지난달 개봉,2
[영화랭킹] '남산의 부장들' 설 연휴 극장가 완승…322만 돌파 영화 '남산의 부장들'이 설 연휴 극장가 최종 승자가 됐다. 영화 '남산의 부장들' 포스터 [사진=㈜쇼박스] 2020.01.28 jjy333jjy@newspim.com 28일 오전 영화진흥위원회 영화관입장권 통합전산망에 따르면 '남산의 부장들... ,the_man_standing_next,naver_news_integrated.csv,남산의 부장들,랭킹 남산 부장 연휴 극장가 완승 돌파 남산 부장 연휴 최종 승자 남산 부장 포스터 사진 쇼박스 오전 진흥 위원회 관입 장권 통합 전산망 남산 부장,1
"'방탄소년단→진중권도 인증'…'남산의 부장들' 개봉 2주차 9일 연속 1위 영화 '남산의 부장들'이 박스오피스 1위를 연일 이어가고 있는 가운데, 영화의 입소문을 견인 중인 오피니언 리더들의 SNS 인증글이 화제를 모으고 있다. 주목할 만한 점은 아이돌, 모델, 아나운서, 법조인, 교수까지... ",the_man_standing_next,naver_news_integrated.csv,남산의 부장들,방탄소년단 진중권 인증 남산 부장 개봉 연속 남산 부장 박스오피스 연일 가운데 입소문 견인 피니언 리더 인증 화제 주목 아이돌 모델 아나운서 법조,1
"이병헌, 영화 '남산의 부장들' 촬영현장 공개…이성민-곽도원-이희준 '... 이병헌, 곽도원, 이성민, 이희준 / 사진=이병헌 인스타그램 배우 이병헌이 자신이 출연한 영화 '남산의 부장들'의 촬영 현장을 공개했다. 이병헌은 지난 22일 자신의 인스타그램에 사진을 게재했다. 공개된 사진 속에는... ",the_man_standing_next,naver_news_integrated.csv,남산의 부장들,이병헌 남산 부장 촬영 현장 성민 곽도원 이희준 이병헌 곽도원 이성민 이희준 사진 이병헌 스타 그램 배우 이병헌 자신 출연 남산 부장 촬영 현장 공개 이병헌 자신 스타 그램 사진 게재 공개 사진,1
"'남산의 부장들' 개봉 11째 오늘(1일) 400만 관객 돌파[공식] 영화 ‘남산의 부장들’(우민호 감독) 개봉 11일 째 400만 관객을 돌파했다. ‘남산의 부장들’은 1979년, 제2의 권력자라 불리던 중앙정보부장(이병헌)이 대한민국 대통령 암살사건을 벌이기 전 40일 간의 이야기를... ",the_man_standing_next,naver_news_integrated.csv,남산의 부장들,남산 부장 개봉 오늘 관객 돌파 공식 남산 부장 우민호 감독 개봉 관객 돌파 남산 부장 권력 중앙 정보 부장 대한민국 대통령 암살 사건 이야기,1
"‘헤어질 결심’ 박찬욱, “영화 제목을 이렇게 정한 이유는...” 영화 헤어질 결심은 산에서 벌어진 변사 사건을 수사하게 된 형사 해준(박해일)이 사망자의 아내 서래(탕웨이)를 만나고 의심과 관심을 동시에 느끼며 시작되는 이야기를 그렸다. 수사극과 멜로극이 결합한 독창적 드라마에... ",decision_to_leave,naver_news_integrated.csv,헤어질 결심,결심 박찬욱 제목 이유 결심 수사 형사 박해일 사망자 아내 서래 탕웨이 의심 관심 동시 시작 이야기 수사 결합 독창 드라마,3
"'남산의 부장들' 박스오피스 1위, 435만 관객 돌파 영화 '남산의 부장'이 박스오피스 1위를 수성했다. 5일 영화진흥위원회 통합전산망에 따르면 영화 '남산의 부장들'(감독 우민호·제작 하이브미디어코프)이 4일 4만8829명의 관객을 동원해 박스오피스 1위를 기록했다.... ",the_man_standing_next,naver_news_integrated.csv,남산의 부장들,남산 부장 박스오피스 관객 돌파 남산 부장 박스오피스 수성 진흥 위원회 통합 전산망 남산 부장 감독 우민호 제작 이브 미디어 코프 관객 동원 박스오피스 기록,1
"‘남산의 부장들’, 해외서 연이은 호평..미국·캐나다·독일 사로잡았... 영화 ‘남산의 부장들’이 해외 판매에서도 유의미한 성적을 내고 있다. ‘남산의 부장들’은 1979년, 제2의 권력자라 불리던 중앙정보부장(이병헌)이 대한민국 대통령 암살사건을 벌이기 전 40일 간의 이야기를 그린... ",the_man_standing_next,naver_news_integrated.csv,남산의 부장들,남산 부장 해외 호평 미국 캐나다 남산 부장 해외 판매 성적 남산 부장 권력 중앙 정보 부장 대한민국 대통령 암살 사건 이야기,1
"'올빼미' 유해진, 왕으로 새로 쓴 인생 캐릭터…편견 깨부순 인조 연기... 연기 인생 최초로 왕 역할을 선보인 유해진의 호연으로 극찬을 받고 있는 영화 '올빼미'가 지난 11월 30일 오전 7시 기준 누적 관객 수 100만 명을 돌파한 것. '올빼미'는 밤에만 앞이 보이는 맹인 침술사가 세자의 죽음을... ",the_night_owl,naver_news_integrated.csv,올빼미,올빼미 유해진 인생 캐릭터 편견 연기 연기 인생 최초 역할 유해진 호연 극찬 올빼미 오전 기준 누적 관객 돌파 올빼미 맹인 침술사 세자 죽음,2
"[주말뭐해?] 한강서울불꽃축제 갈까? 하이서울페스티벌 갈까? [가볼만한... 행사기간 : 2015.09.18(금)~2015.10.11(일) 행사장소 : 충북 괴산군 괴산읍 동진천 일원, 괴산세계유기농산업엑스포 행사장 [영화볼까?] 인턴, 사도, 앤트맨, 탐정 : 더 비기닝, 메이즈 러너: 스코치 트라이얼 예매순 주말영화... ",sado,naver_news_integrated.csv,사도,주말 한강 서울 불꽃 축제 서울 페스 행사 기간 행사 장소 충북 괴산군 괴산읍 일원 괴산 세계 유기농 산업 엑스포 행사장 인턴 사도 앤트 탐정 비기 메이즈 러너 스코치 트라이얼 예매,3
"[D포토] 가수 김민종, 영화 최고에요 (남산의 부장들 VIP 시사회) 20일 서울시 강남구 삼성동 메가박스 코엑스점에서 영화 '남산의 부장들' VIP 시사회가 열렸다. 이 날 시사회에는 진아름,박슬기,송해나,이현이,송경아,이엘,최희,김소현,진선규,소유,박아인,김민종,다솜,김태균,정지훈... ",the_man_standing_next,naver_news_integrated.csv,남산의 부장들,포토 가수 김민종 남산 부장 시사회 서울시 강남구 삼성동 메가 박스 코엑스 남산 부장 시사회 시사회 진아름 박슬기 송해 송경아 이엘 최희 김소현 진선규 소유 박아인 김민종 다솜 김태균 정지훈,1
"[영화랭킹] '남산의 부장들', 2주째 박스오피스 1위…435만 돌파 영화 '남산의 부장들'이 개봉 2주 연속 박스오피스 정상을 지키고 있다. 영화 '남산의 부장들' 포스터 [사진=㈜쇼박스] 2020.02.05 jjy333jjy@newspim.com 5일 오전 영화진흥위원회 영화관입장권 통합전산망에 따르면... ",the_man_standing_next,naver_news_integrated.csv,남산의 부장들,랭킹 남산 부장 박스오피스 돌파 남산 부장 개봉 연속 박스오피스 정상 남산 부장 포스터 사진 쇼박스 오전 진흥 위원회 관입 장권 통합 전산망,1
조용하게 돈 벌어 훌륭한 예술 소비하는 노동자 <오버데어> <기생충> 정... 최우식 씨가 본인이 노래를 잘한다고 했다더라.(웃음) 노래를 시킬 줄은 꿈에도 모르고 그랬다고 하더라.(웃음) <오버 데어>와 <기생충> 영화음악을 선보이며 2019년 상반기를 보냈다. 앞으로의 계획은 어떤가. 작곡가는 어떤... ,parasite,naver_news_integrated.csv,기생충,예술 소비 노동자 오버 데어 기생충 우식 본인 노래 웃음 노래 웃음 오버 기생충 음악 상반기 계획 작곡가,3
"'사도'-'암살'-'베테랑', 2015년 흥행영화 공식은? 16일 송강호, 유아인 주연의 영화 '사도'가 개봉했다. 영화 '사도'는 개봉과 동시에 개봉관마다 매진 행진을 이어가며 많은 영화팬들의 관심을 한몸에 받았다. 최근 천만관객 동원에 성공한 영화 '베테랑'에도 출연한 바... ",sado,naver_news_integrated.csv,사도,사도 암살 베테랑 흥행 공식 송강호 유아인 주연 사도 개봉 개봉 동시 개봉관 매진 행진 관심 최근 천만 관객 동원 성공 베테랑,3
[포토] '남산의 부장들' 송해나 '영화 보러왔어요!' 모델 송해나가 20일 오후 서울시 강남구 삼성동 메가박스 코엑스에서 진행된 영화 ‘남산의 부장들’(감독 우민호) VIP시사회에 참석해 포토타임을 갖고 있다. ‘남산의 부장들’(감독 우민호)은 동명의 논픽션... ,the_man_standing_next,naver_news_integrated.csv,남산의 부장들,포토 남산 부장 송해나 모델 오후 서울시 강남구 삼성동 메가 박스 코엑스 진행 남산 부장 민호 시사회 참석 포토 타임 남산 부장 감독 우민 논픽션,1
영화 '남산의 부장들' 6일 만에 300만 관객 동원 전날 200만 명 돌파 이어 하루 만에 300만 넘겨 홍승완 기자 veryhong@ajunews.com 영화 '남산의 부장들' 화이팅 (서울=연합뉴스) 진연수 기자 = 15일 오후 서울 용산구 CGV 용산아이파크몰에서 열린 영화 '남산의... ,the_man_standing_next,naver_news_integrated.csv,남산의 부장들,남산 부장 관객 동원 전날 돌파 하루 홍승완 기자 남산 부장 서울 연합뉴스 진연 오후 서울 용산구 용산 아이파크몰 남산,1
"영화순위 4일 박스오피스 '남산의 부장들','히트맨','인셉션' 예매순... 영화 남산의 부장들은 우민호 감독의 신작으로 이병헌,이성민,이희준이 출연해 화제가 되고 있다.이어서 히트맨이 누적관객수 2,168,054명(30%)으로 일일 영화순위 2위로 남산의 부장들의 뒤를 잇고 있다. 이밖에... ",the_man_standing_next,naver_news_integrated.csv,남산의 부장들,순위 박스오피스 남산 부장 히트맨 인셉션 예매 부장 우민호 감독 신작 이병헌 이성민 이희준 출연 화제 히트맨 누적 관객 으로 순위 남산 부장,1
"‘더 폰’ 손현주·‘사도’ 송강호·‘성난 변호사’ 이선균, 가을 극... 손현주, ‘사도’ 송강호, ‘성난 변호사’ 이선균까지 대한민국에서 내로라하는 배우들이 흥행 연타에 나서 귀추가 주목되고 있는 것. 먼저 역대 한국영화 스릴러 흥행 1위 기록을 다시 쓴 ‘숨바꼭질’에 이어 2015년... ",sado,naver_news_integrated.csv,사도,손현주 사도 송강호 이선균 가을 손현주 사도 송강호 변호사 이선균 대한민국 배우 흥행 연타 귀추 주목 역대 한국 스릴러 흥행 기록 숨바꼭질,3
"[영화 순위] 11월 28일(월) 류준열·유해진 주연 '올빼미' 1위(58.1%), 김래... 영화 '올빼미'는 11월 23일 개봉했으며, 누적관객수는 893,033명, 어제 상영횟수는 5,758회, 누적매출액은 89억원이다. 관객수 2위는 김래원·이종석·차은우·정상훈·박병은 주연 '데시벨'이다. '데시벨'은 11월... ",the_night_owl,naver_news_integrated.csv,올빼미,순위 류준열 유해진 주연 올빼미 올빼미 개봉 누적 관객 상영 횟수 누적 매출액 관객 김래원 이종석 은우 정상훈 박병 주연 데시벨 데시,2
'남산의 부장들' 김구라 한줄평 '무겁지만 재밌는 영화' 20일 영화 '남산의 부장들'(감독 우민호·제작 하이브미디어코프) 측은 김구라의 추천 영상을 공개하며 예비 관객들의 기대감을 끌어올렸다. 김구라는 23일 진행되는 메가토크의 진행을 위해 '남산의 부장들'을 선관람... ,the_man_standing_next,naver_news_integrated.csv,남산의 부장들,남산 부장 김구라 남산 부장 감독 우민호 제작 하이브 미디어 코프 추천 영상 공개 예비 관객 기대감 김구라 진행 메가 토크 진행 남산 부장 선관,1
"[별별★방송] 유아인 전성시대, '베테랑'·'사도'·'육룡이 나르샤'…스... 그린 영화 '사도'로 찾아온다. 이어 10월에는 SBS드라마 '육룡이 나르샤'에서 조선의 건국을 꾀하는 이방원을... 2015년 서른이 된 유아인은 흥행은 물론 연기력까지 인정받으며 스타가 아닌 진짜 배우로서 전성기를... ",sado,naver_news_integrated.csv,사도,방송 유아 전성시대 베테랑 사도 육룡 사도 드라마 육룡 나르샤 조선 건국 방원 서른 유아인 흥행 연기력 스타 배우 전성기,3
"[추석극장가 한국영화 빅3 격돌] 일찌감치 치고나간 ‘사도’…추격자... 송강호·유아인 탁월한 연기력 사도, 개봉 일주일 200만 관객 권상우·성동일 콤비의 ‘탐정’ 연휴엔... ‘암살’과 ‘베테랑’의 선전 덕분에, 한국영화 점유율도 68.2%(영화진흥위원회 ‘2015년 8월 한국영화산업... ",sado,naver_news_integrated.csv,사도,추석 극장가 한국 격돌 사도 추격자 송강호 유아 연기력 사도 개봉 일주일 관객 상우 동일 콤비 탐정 연휴 베테랑 선전 덕분 한국 점유 진흥 위원회 한국 산업,3
"(시즌2_추남's 이 영화 어때?)메가폰 잡은 '왕의 남자' 조감독, 조선왕가... 천만 영화 '왕의 남자' 조감독 출신 안태진 감독이 23일 개봉하는 '올빼미'로 장편 상업영화 연출에 도전한다. '올빼미'는 밤에만 앞이 보이는 맹인 침술사가 세자의 죽음을 목격한 후 진실을 밝히기 위해 벌이는 하룻밤... ",the_night_owl,naver_news_integrated.csv,올빼미,시즌 추남 메가폰 남자 조감독 조선 왕가 남자 조감독 출신 안태진 감독 개봉 올빼미 장편 상업 연출 올빼미 맹인 침술사 세자 죽음 목격 진실 하룻밤,2
"[포토] 영화 '남산의 부장들' 이병헌, 몰입도 높이는 명품 연기력 배우 이병헌이 15일 오후 서울 용산구 CGV 용산아이파크몰에서 열린 영화 '남산의 부장들' 언론시사회 및 기자간담회에 참석했다. 이 자리에는 우민호 감독을 비롯해 배우 이병헌, 이성민, 곽도원, 이희준이 참석했다.... ",the_man_standing_next,naver_news_integrated.csv,남산의 부장들,포토 남산 부장 이병헌 몰입 명품 배우 이병헌 오후 서울 용산구 용산 아이파크몰 남산 부장 언론 시사회 기자 간담회 참석 자리 우민호 감독 배우 이병헌 이성민 곽도원 이희준 참석,1
"“‘올빼미’ 김성철이 누구야?” 확 떴다, 조승우가 찜했던 연기파 배... 영화 ‘올빼미’가 박스오피스를 장악한 가운데 극중 소현세자 역을 맡은 김성철(30)이 뚜렷한 존재감으로 인기를 누리고 있다. ‘올빼미’는 밤에만 앞이 보이는 맹인 침술사 경수(류준열)가 인조(유해진)의 아들... ",the_night_owl,naver_news_integrated.csv,올빼미,올빼미 김성철 누구 조승우 연기파 올빼미 박스오피스 장악 소현 세자 김성철 존재감 인기 올빼미 맹인 침술사 경수 인조 유해진 아들,2
"‘사도’ 유아인, 정직한 슈트핏(NC포토) [영화정보]영화명: ‘사도’장르: 사극감독: 이준익개봉일: 2015년 9월 16일출연: 송강호, 유아인, 문근영, 김해숙, 전혜진 외.관람등급: 12세이상 관람가 (뉴스컬처=) 대한민국 No.1 문화신문 [뉴스컬처] [네이버 뉴스스탠드]... ",sado,naver_news_integrated.csv,사도,사도 유아 정직 슈트 포토 정보 사도 장르 사극 감독 개봉 출연 송강호 유아인 문근영 김해숙 전혜진 관람 등급 이상 관람 뉴스 컬처 대한민국 문화 신문 뉴스 컬처 네이버 뉴스 스탠드,3
'남산의 부장들' 387만↑·'히트맨' 187만↑…韓 영화 쌍끌이 영화 '남산의 부장들'(감독 우민호)과 '히트맨'(감독 최원섭)이 쌍끌이 흥행 중이다. 1일 영화진흥위원회 영화관 입장권 통합 전산망에 따르면 '남산의 부장들'은 지난달 31일 하루 13만 879명을 동원하며... ,the_man_standing_next,naver_news_integrated.csv,남산의 부장들,남산 부장 히트 남산 부장 감독 우민호 감독 최원섭 흥행 진흥 위원회 영화관 입장권 통합 전산망 남산 부장 지난달 하루 동원,1
원작자가 본 영화 '남산의 부장들' ' 영화 '남산의 부장들' 원작자 김충식 가천대 교수가 서문에 쓴 말이다. 영화는 김 교수가 기자 시절인 1990년 8월부터 2년 2개월 동안 동아일보에 연재한 기획 기사를 한데 묶은 동명 논픽션 베스트셀러를 밑그림으로... ,the_man_standing_next,naver_news_integrated.csv,남산의 부장들,원작자 남산 부장 남산 부장 원작자 김충 교수 서문 교수 기자 시절 개월 동안 동아일보 연재 기획 기사 동명 논픽션 베스트셀러 밑그림,1
"435만 돌파 ‘남산의 부장들’, 박스오피스 1위..2위 ‘히트맨’-3위 ‘... 대한민국 대통령 박통 역을, 곽도원은 전 중앙정보부장 박용각 역을, 이희준은 대통령 경호실장 곽상천 역을, 김소진은 로비스트 데보라 심 역을 맡았다. 영화 &lt;남산의 부장들&gt;은 전국 극장에서 절찬 상영 중이다.",the_man_standing_next,naver_news_integrated.csv,남산의 부장들,돌파 남산 부장 박스오피스 히트맨 대한민국 대통령 박통 곽도원 중앙정보부 이희준 대통령 경호실 곽상 김소진 로비스트 데보라 남산 부장 전국 극장 절찬 상영,1
"유해진·류준열 주연 '올빼미' 개봉 8일째 100만명 돌파 영화 '올빼미'. NEW 제공 유해진·류준열 주연 사극 스릴러 개봉 8일 만에 100만 관객을 돌파했다. 30일 영화진흥위원회 영화입장권통합전산망의 집계에 따르면, '올빼미'는 30일 오전 7시 기준 누적관객수 103만6808명을... ",the_night_owl,naver_news_integrated.csv,올빼미,유해진 류준열 주연 올빼미 개봉 돌파 올빼미 제공 유해진 류준열 주연 사극 스릴러 개봉 관객 돌파 진흥 위원회 입장권 통합 전산망 집계 올빼미 오전 기준 누적 관객,2
영화 '올빼미' 빛나는 주역들 [쿠키포토] 배우 류준열과 유해진이 10일 오후 서울 용산구 CGV용산아이파크몰에서 열린 영화 '올빼미' 언론시사회에 참석해 포토타임을 갖고 있다. 영화 '올빼미'는 밤에만 앞이 보이는 맹인 침술사가 세자의 죽음을 목격한 후... ,the_night_owl,naver_news_integrated.csv,올빼미,올빼미 주역 쿠키 포토 배우 류준열 유해진 오후 서울 용산구 용산 아이파크몰 올빼미 언론 시사회 참석 포토 타임 올빼미 맹인 침술사 세자 죽음 목격,2
"'남산의 부장들', 개봉 2주차에도 굳건한 박스오피스 1위…압도적 흥행... 영화 '남산의 부장들'(감독 우민호)이 개봉 2주차에 접어든 30일에도 박스오피스 1위를 수성했다. 영화 '남산의 부장들'이 영화진흥위원회 통합전산망 기준 무려 9일 연속 박스오피스 1위를 수성 하며 압도적인 흥행... ",the_man_standing_next,naver_news_integrated.csv,남산의 부장들,남산 부장 개봉 박스오피스 압도 흥행 남산 부장 감독 우민호 개봉 박스오피스 수성 남산 부장 진흥 위원회 통합 전산망 연속 박스오피스 수성 압도 흥행,1
"유해진X류준열 영화 '올빼미', 밤이 되면 앞이 보이는 병 '주맹증'이란? 연기파 배우 유해진과 류준열이 주연으로 출연한 영화 &lt;올빼미&gt;가 새로운 스타일의 스릴러를 표방하는 가운데, 어디서도 본 적 없는 새로운 소재인 '주맹증'을 다루고 있어 관심을 모으고 있다. 주맹증은 밝은 곳에서의... ",the_night_owl,naver_news_integrated.csv,올빼미,유해진 류준열 올빼미 주맹증 연기파 배우 유해 류준열 주연 출연 올빼미 스타일 스릴러 표방 가운데 어디 소재 주맹증 관심 주맹증,2
